Trx Number/ Cross Ref,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,__amount_target_col__,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number
245120,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN HEATING,2020,USD,2026-02-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3496,2026-03-15 00:00:00,Dorse House Account,Barnes South,3391,1.510000004e+11
243436,Conversion,Invoice,Invoice,Yes,Complete,AIR 1 HEATING INC,336,USD,2025-12-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4684,2026-01-28 00:00:00,Dorse House Account,Hotel #2,3111,1.510000012e+11
243512-2,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,1420.48,USD,2026-02-21 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-23 00:00:00,Dorse House Account,25353043,3442,1.510000008e+11
243803,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,359.71,USD,2026-01-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-02-08 00:00:00,Dorse House Account,685514,3377,1.510000009e+11
245291-1,Conversion,Invoice,Invoice,Yes,Complete,CFM HEATING & COOLING INC,139.72,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3929,2026-03-20 00:00:00,Dorse House Account,Death & CO,4121,1.510000004e+11
244794,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,1580.46,USD,2026-01-30 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-01 00:00:00,Dorse House Account,25357078,3442,1.510000002e+11
240588,Conversion,Invoice,Invoice,Yes,Complete,TRS MECHANICAL INC,1325,USD,2025-12-15 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4972,2026-01-14 00:00:00,Dorse House Account,22736,3498,1.510000017e+11
245100,Conversion,Invoice,Invoice,Yes,Complete,CODE MECHANICAL INC,125,USD,2026-02-05 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,5010,2026-03-07 00:00:00,Dorse House Account,60317,4056,1.510000015e+11
245905,Conversion,Invoice,Invoice,Yes,Complete,ACCO ENGINEERED SYSTEMS (401856),43.26,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,5060,2026-03-29 00:00:00,Dorse House Account,266712,3666,1.510000016e+11
243640,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,28.86,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-02-06 00:00:00,Dorse House Account,SP928616,4103,1.510000006e+11
