Branch,Customer,Start Date,Finish Date,Project Name,Project Type,Project Unit,Quote Number,Contract Type,Project Number,Project Status,Distribution To,Project Manager,Cost Per Trip/Day,Product Estimated,Project Description,Project Ledger Currency,Operating Company (OpCo)
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2025-02-01,2027-01-01,Ice Arena at Chesterfield,CJBS_Billable Project Type,CJBS PU,0125-6195,New Construction,0125-6195,Active,CONTRACTOR,"Tees, Jason",0,Schneider ,2300 Genito Place  Chesterfield VA 23832,USD,CJBS
Richmond-C&J-Building Automation,GREENLINE TECHNICAL GROUP INC,2024-02-01,2027-02-01,Innovas OEM Tridum Solution,CJBS_Billable Project Type,CJBS PU,0123-5135,New Construction,0123-5135,Active,CONTRACTOR,"Desoto, Christopher",87,Schneider Tridium,Virtual,USD,CJBS
Richmond-C&J-Services,JEFFERSON SCHOLARS FOUNDATION,2025-11-01,2027-01-01,Jefferson Scholars Service Agreement 25-26,CJBS_Billable Project Type,CJBS PU,0125-6215,Service Contract,0125-6215,Active,CONTRACTOR,"Halferty, April",104.4,,"112 Clarke Court  Charlottesville, VA 22903",USD,CJBS
Richmond-C&J-Services,KAESER COMPRESSORS,2025-08-01,2026-10-01,Kaeser Compressors Service Agreement,CJBS_Billable Project Type,CJBS PU,0125-6723,Service Contract,0125-6723,Active,CONTRACTOR,,87,Alerton,"511 Sigma Drive  Fredericksburg, VA 22408",USD,CJBS
Richmond-C&J-Building Automation,WARWICK MECHANICAL GROUP,2024-09-01,2027-04-06,Lewis Ginter Botanical Garden,CJBS_Billable Project Type,CJBS PU,0124-5249,Renovation,0124-5249,Active,CONTRACTOR,"Suttles, Jonathan",61.32653061,JCI FX,"1800 Lakeside Ave Henrico, VA 23228",USD,CJBS
Richmond-C&J-Building Automation,GREEN AIR,2025-03-01,2027-05-01,Lynchburg CSO 52 Storage,CJBS_Billable Project Type,CJBS PU,0125-6423,New Construction,0125-6423,Active,CONTRACTOR,"Tees, Jason",267,JCI FX,"900 Church Street  Lynchburg, VA 24504",USD,CJBS
Richmond-C&J-Building Automation,SOUTHERN AIR,2026-02-01,2026-11-01,MRMC MOB-1 Suite 310 Reno,CJBS_Billable Project Type,CJBS PU,0126-7127,Renovation,0126-7127,Active,CONTRACTOR,"Seay, Kyle",61.48005077,JCI - FX,"8260 Atlee Road  Mechanicsville, VA 23116",USD,CJBS
Richmond-C&J-Building Automation,ICE HEATING & COOLING,2023-11-01,2026-11-01,Massaponax WWTP,CJBS_Billable Project Type,CJBS PU,0123-5035,Renovation,0123-5035,Active,CONTRACTOR,"Flagg, Daniel",83.13162651,Schneider,"10900 HCC Dr. Fredericksburg, VA 22408",USD,CJBS
Richmond-C&J-Building Automation,GREEN AIR,2025-02-01,2026-10-01,"Mid Atlantic Retail - Warehouse BLDGS A, B, C",CJBS_Billable Project Type,CJBS PU,0125-5482,New Construction,0125-5482,Active,CONTRACTOR,"Martinez, Joseph",87,Wiring Only,"12413 Genito Rd Midlothian, VA 23112",USD,CJBS
Richmond-C&J-Services,ASRC FEDERAL SYSTEMS SOLUTIONS INC,2025-04-01,2026-09-01,NRL - Blossom Point Service Agreement,CJBS_Billable Project Type,CJBS PU,0125-6389,Service Contract,0125-6389,Active,CONTRACTOR,"Garter, Matthew",104.4,Tridium,"Blossom Point Rd.  Welcome, MD 20693",USD,CJBS
