Branch,Customer,Start Date,Finish Date,Project Name,Project Type,Project Unit,Quote Number,Contract Type,Project Number,Project Status,Distribution To,Project Manager,Cost Per Trip/Day,Product Estimated,Project Description,Project Ledger Currency,Operating Company (OpCo)
Richmond-C&J-Services,THALHIMER,2026-03-01,2027-05-01,1701 Fall Hill SA 26-27,CJBS_Billable Project Type,CJBS PU,0126-6906,Service Contract,0126-6906,Active,CONTRACTOR,"Halferty, April",87,Tridium,"1701 Fall Hill Ave Fredericksburg, VA 22401",USD,CJBS
Richmond-C&J-Building Automation,COMFORT SYSTEMS INC,2025-04-01,2027-05-31,ABB Regen Test Bay,CJBS_Billable Project Type,CJBS PU,0125-5992,New Construction,0125-5992,Active,CONTRACTOR,"Suttles, Jonathan",44.5,Custom Panel,"5900 Eastport Blvd Richmond, VA 23231",USD,CJBS
Richmond-C&J-Services,ALBEMARLE CHARLOTTESVILLE REGIONAL JAIL,2025-12-01,2026-12-01,ACRJ Service Contract Renewal 25-26,CJBS_Billable Project Type,CJBS PU,0126-7065,Service Contract,0126-7065,Active,CONTRACTOR,"Halferty, April",87,,"160 Peregory Lane  Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,HOBBS & ASSOCIATES,2025-04-01,2027-01-01,Albemarle Co HS Center - Annexair Unit Controls,CJBS_Billable Project Type,CJBS PU,0125-6573,Renovation,0125-6573,Active,CONTRACTOR,"Suttles, Jonathan",151.3,Schneider AS-B,"2775 Hydraulic Road  Charlottesville, VA",USD,CJBS
Richmond-C&J-Services,BURGESS & NIPLE INC,2026-05-01,2027-01-01,Atlantic Park_Dome Program Mods May26,CJBS_Billable Project Type,CJBS PU,0126-7378,Service Quoted,0126-7378,Active,CONTRACTOR,"Martinez, Joseph",139.2,Schneider,"400 20th St. Virginia Beach, VA 23451",USD,CJBS
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2024-10-01,2027-01-01,Avon Operations Center,CJBS_Billable Project Type,CJBS PU,0124-5586,New Construction,0124-5586,Active,CONTRACTOR,"Tees, Jason",94.8295,Schneider,"1741 Avon Street Extended  Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,ATLANTIC CONSTRUCTORS INC,2025-02-01,2026-08-01,BSMH - ORC HVAC Upgrades,CJBS_Billable Project Type,CJBS PU,0125-6136,Renovation,0125-6136,Active,CONTRACTOR,"Flagg, Daniel",22.04785929,JCI FX or Schneider Tridium,"2521 Brittons Hill Road  Richmond, VA 23230",USD,CJBS
Richmond-C&J-Building Automation,WARWICK MECHANICAL GROUP,2025-07-01,2026-11-01,BSMH RGH Lab Equip PH2,CJBS_Billable Project Type,CJBS PU,0125-6737,Renovation,0125-6737,Active,CONTRACTOR,"Flagg, Daniel",178,Tridium / Schneider,"101 HARRIS ROAD KILMARNOCK, VA 22482",USD,CJBS
Richmond-C&J-Building Automation,WARWICK MECHANICAL GROUP,2024-11-01,2027-07-01,BSMH RGH Patient Wing Renovation,CJBS_Billable Project Type,CJBS PU,0124-5395,Renovation,0124-5395,Active,CONTRACTOR,"Flagg, Daniel",121.6990758,Tridium Schneider,"101 Harris Road  Kilmarnock, VA 22482",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2025-08-01,2027-02-01,BSMH Short Pump ASC,CJBS_Billable Project Type,CJBS PU,0125-6027,New Construction,0125-6027,Active,CONTRACTOR,"Flagg, Daniel",44.5,Schneider Tridium,"12320 West Broad St.  Henrico, VA 23233",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2026-02-01,2027-04-01,BSMH St Francis MOB - ASC,CJBS_Billable Project Type,CJBS PU,0126-6593,New Construction,0126-6593,Active,CONTRACTOR,"Flagg, Daniel",44.5,Schneider Tridium,"13701 Bon Secours Drive  Midlothian, VA 23114",USD,CJBS
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2025-12-01,2026-12-01,BSMH St Francis MOB 2nd 3rd Fitout,CJBS_Billable Project Type,CJBS PU,0125-6879,New Construction,0125-6879,Active,CONTRACTOR,"Flagg, Daniel",44.5,SE - Tridium,"13701 Bon Secours Drive  Midlothian, VA 23114",USD,CJBS
Richmond-C&J-Building Automation,M&E CONTRACTORS,2025-08-01,2026-11-01,BSMH St. Francis MOB Core Shell,CJBS_Billable Project Type,CJBS PU,0125-6047,New Construction,0125-6047,Active,CONTRACTOR,"Flagg, Daniel",56.22625286,Schneider Tridium,"13701 Bon Secours Drive  Richmond, VA 23114",USD,CJBS
Richmond-C&J-Services,MILLER MECHANICAL,2026-03-01,2027-01-01,BSMH St. Marys MOB N OPIC,CJBS_Billable Project Type,CJBS PU,0126-7134,Service Quoted,0126-7134,Active,CONTRACTOR,"Seay, Kyle",62.3,SE Tridium,"5855 Bremo Road, Suite 605  Richmond, VA 23226",USD,CJBS
Richmond-C&J-Services,BROOKS FAMILY YMCA,2025-11-01,2027-01-01,Brooks YMCA,CJBS_Billable Project Type,CJBS PU,0125-6775,Service Contract,0125-6775,Active,CONTRACTOR,"Halferty, April",87,,"151 McIntire Park Drive Charlottesville, VA 22902",USD,CJBS
Richmond-C&J-Building Automation,GREEN AIR,2024-03-01,2027-02-01,Buckingham WWTP,CJBS_Billable Project Type,CJBS PU,0124-5263,New Construction,0124-5263,Active,CONTRACTOR,"Dodd, Sean",139.2,Wiring Only,"VA-20 Dillwyn, VA 23936",USD,CJBS
Richmond-C&J-Building Automation,ATLANTIC CONSTRUCTORS INC,2024-07-01,2027-11-01,CBBT BAS Controls,CJBS_Billable Project Type,CJBS PU,0124-5803,New Construction,0124-5803,Active,CONTRACTOR,"Flagg, Daniel",151.3165577,Schneider Electric,"Chesapeake Bay Bridge and Tunnel District Cape Charles, VA 23310",USD,CJBS
Richmond-C&J-Building Automation,GREEN AIR,2025-12-01,2027-10-01,CC Falling Creek Police Station,CJBS_Billable Project Type,CJBS PU,0125-6794,New Construction,0125-6794,Active,CONTRACTOR,"Tees, Jason",62.3,SE Tridium,"7318 Midlothian Turnpike  North Chesterfield, VA 23225",USD,CJBS
Richmond-C&J-Services,HARRIS HEATING & PLUMBING CO,2026-09-01,2029-11-01,CCPS - New West Area Elem - Service Contract,CJBS_Billable Project Type,CJBS PU,0124-6131,Service Contract,0124-6131,Active,CONTRACTOR,,87,,"17160 Westerleigh Parkway Moseley, VA 23120",USD,CJBS
Richmond-C&J-Building Automation,HARRIS HEATING & PLUMBING CO,2024-11-01,2026-09-01,CCPS - New West Area Elem School,CJBS_Billable Project Type,CJBS PU,0124-5916,New Construction,0124-5916,Active,CONTRACTOR,"Flagg, Daniel",18.49483733,Schneider with JACE,"17160 Westerleigh Parkway  Moseley, VA 23120",USD,CJBS
Richmond-C&J-Building Automation,CMA CGM (AMERICA) LLC,2025-11-01,2026-09-01,CMA CGM HQ 1st Floor,CJBS_Billable Project Type,CJBS PU,0125-6985,Renovation,0125-6985,Active,CONTRACTOR,"Flagg, Daniel",104.4,Schneider / Schneider,"5701 Lake Wright Dr Norfolk, VA 23502",USD,CJBS
Richmond-C&J-Building Automation,SOUTHEASTERN MECHANICAL INC,2024-02-20,2026-10-20,CMA CGM HQ 3rd Floor,CJBS_Billable Project Type,CJBS PU,0124-4507,Renovation,0124-4507,Active,CONTRACTOR,"Flagg, Daniel",143.1300218,Schneider Electric,"5701 Lake Wright Dr Norfolk, VA 23502",USD,CJBS
Richmond-C&J-Services,CITY OF RICHMOND,2026-06-01,2027-08-01,COR Community Centers,CJBS_Billable Project Type,CJBS PU,0126-7313,Service Contract,0126-7313,Active,CONTRACTOR,"Seay, Taylor",87,,"900 E Broad Street 4th Floor - Room 407 Richmond, VA 23219",USD,CJBS
Richmond-C&J-Building Automation,HOWELL'S HEATING & AIR,2025-11-01,2027-02-01,COR WWTP Admin Building,CJBS_Billable Project Type,CJBS PU,0125-6731,Renovation,0125-6731,Active,CONTRACTOR,"Tees, Jason",71.2,JCI FX,"1400 Brander Street  Richmond, VA 23224",USD,CJBS
Richmond-C&J-Building Automation,SCHNEIDER ELECTRIC NATIONAL ACCOUNTS ©,2025-01-01,2029-05-04,CTP-02,CJBS_Billable Project Type,CJBS PU,0125-6005,New Construction,0125-6005,Active,CONTRACTOR,"Garter, Matthew",69.451465,No Product Required - Labor and ESUB only,"1401 Meadowville Technology Park Chester, VA 23836",USD,CJBS
Richmond-C&J-Building Automation,HARRIS HEATING & PLUMBING CO,2024-10-01,2027-02-01,Carter Bellwood Rental Store,CJBS_Billable Project Type,CJBS PU,0124-6046,New Construction,0124-6046,Active,CONTRACTOR,"Martinez, Joseph",62.3,JCI FX,"1705 Bellwood Road  Richmond, VA 23237",USD,CJBS
Richmond-C&J-Building Automation,COLONIAL WEBB CONTRACTORS,2025-04-01,2026-12-01,Chesterfield County Jail - HVAC Replacement,CJBS_Billable Project Type,CJBS PU,0125-5497,Renovation,0125-5497,Active,CONTRACTOR,"Tees, Jason",55.05392093,Schneider Tridium,"6900 Mimms Drive  Chesterfield, VA 23832",USD,CJBS
Richmond-C&J-Building Automation,RYCON CONSTRUCTION,2025-04-01,2027-01-01,Chesterfield County New Animal Services Facility,CJBS_Billable Project Type,CJBS PU,0125-6147,New Construction,0125-6147,Active,CONTRACTOR,"Tees, Jason",62.3,Schneider Tridium,"Government Center Parkway  Chesterfield County, VA 23832",USD,CJBS
Richmond-C&J-Services,CHESTERFIELD COUNTY,2025-08-01,2026-10-01,Chesterfield Fleet & Midlo Library 2025-26 - SA,CJBS_Billable Project Type,CJBS PU,0125-6777,Service Contract,0125-6777,Active,CONTRACTOR,"Seay, Kyle",87,Tridium,"6609 Public Works Court Chesterfield, VA 23832",USD,CJBS
Richmond-C&J-Services,VIRGINIA DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,2024-06-01,2026-12-01,Dept of Agriculture - Ctrls - SA 2024,CJBS_Billable Project Type,CJBS PU,0124-5638,Service Contract,0124-5638,Active,CONTRACTOR,"Martinez, Joseph",105.125,Existing JCI,"261 Mt. Clinton Pike Harrisonburg, VA 22802",USD,CJBS
Richmond-C&J-Building Automation,DOMINION ENERGY ©,2025-12-01,2027-08-01,Dominion - NAPS - DCER AC-150 & 158 Ctrls,CJBS_Billable Project Type,CJBS PU,0125-6887,Renovation,0125-6887,Active,CONTRACTOR,"Martinez, Joseph",97.9,JCI FX,"1022 Haley Dr Mineral, VA 23117",USD,CJBS
Richmond-C&J-Building Automation,INTEGRITY CONSTRUCTION MANAGEMENT LLC,2024-09-01,2027-03-01,Dominion - NAPS - DCER AC-150 - 158 Mtrl,CJBS_Billable Project Type,CJBS PU,0124-5569,Renovation,0124-5569,Active,CONTRACTOR,"Martinez, Joseph",97.9,JCI FX,"1022 Haley Dr. Mineral, VA 23117",USD,CJBS
Richmond-C&J-Services,DOMINION ENERGY ©,2026-03-01,2027-05-01,Dominion North Anna Service Agreement,CJBS_Billable Project Type,CJBS PU,0126-7115,Service Contract,0126-7115,Active,CONTRACTOR,"Halferty, April",87,,"1022 Haley Drive Mineral, VA 23117",USD,CJBS
Richmond-C&J-Building Automation,OLD DOMINION MECHANICAL (C),2025-12-01,2026-11-01,Dominion Packaging Press Room,CJBS_Billable Project Type,CJBS PU,0125-6677,Renovation,0125-6677,Active,CONTRACTOR,"Tees, Jason",58.17241379,TBD,"2708 Seven Hill Blvd Henrico, VA 23231",USD,CJBS
Richmond-C&J-Services,DOMINION ENERGY ©,2026-03-01,2027-05-01,Dominion TFF Service Agreement,CJBS_Billable Project Type,CJBS PU,0126-7159,Service Contract,0126-7159,Active,CONTRACTOR,"Halferty, April",87,Tridium ,"600 East Canal St. Richmond, VA 23219",USD,CJBS
