Unnamed: 0,Transaction Type,Trx Date,Trx Number/ Cross Ref,Po Number,Customer Name (Only Bill to/ No Ship To),Customer Address,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Payment Term,Due Date,Unnamed: 14,Unnamed: 15,Invoice Amount,Unnamed: 17,Salesperson Name,Sales credit percentage,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,Type,Date,Num,P. O. #,Name,Name Address,Name Street1,Name Street2,Name City,Name State,Name Zip,Terms,Due Date,Class,Aging,Open Balance,S. O. #,,,,,Source Account #,Source Description,,,,Oracle BU,Oracle Branch,Oracle LOB,Oracle Dept,Oracle Account,Oracle IC Partner,Oracle Addback,Oracle Prod Line,Oracle Future,,Oracle GL String
,Invoice,2026-01-29 00:00:00,244624,689898,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,264,244624,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244637,706608,Key Mechanical - WA:Key-Small Projects,"19430 68Th Ave S Suite B Kent, WA 98032",19430 68Th Ave S,Suite B,Kent,WA,98032,Net 30,2026-02-28 00:00:00,Seattle,30,57.49,244637,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244721,690477,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,402,244721,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244636,706544,Key Mechanical - WA:Key-Small Projects,"19430 68Th Ave S Suite B Kent, WA 98032",19430 68Th Ave S,Suite B,Kent,WA,98032,Net 30,2026-02-28 00:00:00,Seattle,30,1160,244636,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244592,689555,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,736,244592,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244738,2333-2720,Ocean Park Mechanical Inc:OCE-1200 Stewart,"2428 King George Boulevard Surrey, BC V4P 1H5 CANADA",2428 King George Boulevard,,Surrey,BC,V4P 1H5,Net 30,2026-02-28 00:00:00,Seattle,30,1255.8,244738,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244581,25-696-RM,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",430 SW 153rd St,,Burien,WA,98166,Net 30,2026-02-28 00:00:00,Seattle,30,280,244581,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,244755,689813,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,1630,244755,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-29 00:00:00,243065,680993,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-02-28 00:00:00,Seattle,30,4375,243065,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244759,26029194,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-01 00:00:00,Seattle,29,422,244759,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244553,690624,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,32.74,244553,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244760,690628,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,157.6,244760,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,243743,685283,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,243.91,243743,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244230,Good Samaritan Kitchen,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,19.86,244230,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244598,26026068,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-01 00:00:00,Seattle,29,3086.66,244598,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244857,Klee Lofts,Farrington Air Quality Services,"PO Box 760 Sumner, WA 98390 USA",PO Box 760,,Sumner,WA,98390,Net 30,2026-03-01 00:00:00,Seattle,29,120,244857,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244794,25357078,McKinstry Company:MCK-Block 38 TI,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-01 00:00:00,Seattle,29,1580.46,244794,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244379,687845,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,17.04,244379,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244627,689895,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,160,244627,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244139-1,26014163,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-01 00:00:00,Seattle,29,901,244139,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244565,101650-22974,Rainier Metal Works:Rainier Metal Works-Special Projects,"9322 14th Ave South Seattle, WA 98108 USA",9322 14th Ave South,,Seattle,WA,98108,Net 30,2026-03-01 00:00:00,Seattle,29,1984.83,244565,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244769,690214,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,1639.1,244769,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244782,690343,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,168,244782,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244748,690046,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,4790,244748,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244817,707064,Key Mechanical - WA,"19430 68Th Ave S Suite B Kent, WA 98032",19430 68Th Ave S,Suite B,Kent,WA,98032,Net 30,2026-03-01 00:00:00,Seattle,29,101.53,244817,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244709,25-641,Enviromech:Enviromech - Special Projects,"430 SW 153rd St Burien, WA 98166 USA",430 SW 153rd St,,Burien,WA,98166,Net 30,2026-03-01 00:00:00,Seattle,29,188.4,244709,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244825-1,690459,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,85.08,244825,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244825,690459,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,80.14,244825,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244741,26029102,McKinstry Company:McK-Special Projects,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-01 00:00:00,Seattle,29,151.27,244741,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244821,305598,Vital Mechanical Service:Vit-Vital Mechanical Special Projects,"1420 Maple Ave SW Renton, WA 98057 USA",1420 Maple Ave SW,,Renton,WA,98057,Net 30,2026-03-01 00:00:00,Seattle,29,492,244821,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244752,25357078,McKinstry Company:MCK-Block 38 TI,"PO Box 24406 Seattle, WA 98124 USA",PO Box 24406,,Seattle,WA,98124,Net 30,2026-03-01 00:00:00,Seattle,29,140,244752,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,244859,690606,"MacDonald-Miller Facility Solutions, Inc.:MAC-Special Projects","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,48.16,244859,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
,Invoice,2026-01-30 00:00:00,243618,690143,"MacDonald-Miller Facility Solutions, Inc.:MAC-SpaceX","PO Box 47983 Seattle, WA 98146 USA",PO Box 47983,,Seattle,WA,98146,Net 30,2026-03-01 00:00:00,Seattle,29,3915.56,243618,House Account,1.0,,,4051,4051 · Commodity Sales,,,,1510,1601,150,000,411000,0000,000,1045,0000,,
