Project Name,Project Number,Project Status,Project Unit,Project Type,Project Manager,Customer,Start Date,Finish Date,Project Description,Operating Company (OpCo),Branch,Project Ledger Currency,Quote Number,Contract Type,Product Estimated,Distribution To,Cost Per Trip/Day
Premium Dist VAV Replace,0126-7183,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Taylor",ETEC,2026-05-01 00:00:00,2027-03-01 00:00:00,"2290 Dabney Road  Richmond, VA 23230",CJBS,Richmond-C&J-Services,USD,0126-7183,Service Quoted,Others,CONTRACTOR,0
Proctors Creek Admin and Control Buildings,0126-6719,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",ICE HEATING & COOLING,2026-01-01 00:00:00,2027-03-01 00:00:00,"1200 Coxendale Road  Chester, VA 23836",CJBS,Richmond-C&J-Building Automation,USD,0126-6719,Renovation,Schneider Electric,CONTRACTOR,56.48698011
Project Rocky,0125-6138,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",M&E CONTRACTORS,2025-02-01 00:00:00,2027-02-01 00:00:00,,CJBS,Richmond-C&J-Building Automation,USD,0125-6138,New Construction,Wiring Only,CONTRACTOR,51
ROSENDIN Richmond Office,0126-7264,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",ATLANTIC CONSTRUCTORS INC,2026-05-01 00:00:00,2027-05-01 00:00:00,,CJBS,Richmond-C&J-Building Automation,USD,0126-7264,New Construction,SE/SE,CONTRACTOR,62.3
Red River Food Group Reno,0125-6233,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",HARRIS HEATING & PLUMBING CO,2025-01-01 00:00:00,2027-01-22 00:00:00,,CJBS,Richmond-C&J-Building Automation,USD,0125-6233,Renovation,Schneider ,CONTRACTOR,63.99222399
Region Ten Level Two Reno,0125-7054,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",M&E CONTRACTORS,2025-12-01 00:00:00,2027-02-26 00:00:00,"110 Avon Street  Charlottesville, Virginia 22902",CJBS,Richmond-C&J-Services,USD,0125-7054,Service Quoted,JCI - FX,CONTRACTOR,60
,0125-6636,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",M&E CONTRACTORS,2025-06-01 00:00:00,2027-01-08 00:00:00,"110 Avon Street  Charlottesville, VA 22902, 2026/05/31",CJBS,Richmond-C&J-Services,USD,0125-6636,Service Quoted,JCI FX,CONTRACTOR,141.809839
,0126-7036,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",MARTIN HORN,2026-01-01 00:00:00,2026-11-01 00:00:00,"110 Avon St. Charlottesville, VA 22902",CJBS,Richmond-C&J-Services,USD,0126-7036,Service Quoted,JCI,CONTRACTOR,87
Richmond Airport ARFF Station,0125-6631,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",OLD DOMINION MECHANICAL (C),2025-12-01 00:00:00,2027-08-01 00:00:00,"Portugee Road  Richmond, VA 23250",CJBS,Richmond-C&J-Building Automation,USD,0125-6631,New Construction,SE Tridium,CONTRACTOR,89
Richmond National Westmark 4th Floor,0126-7332,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",MILLER MECHANICAL,2026-05-01 00:00:00,2027-01-01 00:00:00,"11013 West Broad Street  Glen Allen, Virginia 23060",CJBS,Richmond-C&J-Building Automation,USD,0126-7332,Renovation,SE and Pnuematic,CONTRACTOR,63.15789474
Riverside Patriots Colony,0125-6122,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",GREEN AIR,2025-05-01 00:00:00,2027-01-01 00:00:00,"6000 Patriots Colony Drive  Williamsburg, VA 23188",CJBS,Richmond-C&J-Building Automation,USD,0125-6122,New Construction,Schneider,CONTRACTOR,86.28017421
Stonebridge School Service Agreement,0125-6158,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",STONEBRIDGE SCHOOL,2025-11-01 00:00:00,2026-12-01 00:00:00,"1629 Joliff Road  Chesapeake, VA 23321",CJBS,Richmond-C&J-Services,USD,0125-6158,Service Contract,Schneider,CONTRACTOR,87
The Virginia Home,0125-6182,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",HOWELL'S HEATING & AIR,2026-01-01 00:00:00,2028-07-01 00:00:00,"### Left Flank Road  Mechanicsville, VA 23116",CJBS,Richmond-C&J-Building Automation,USD,0125-6182,New Construction,Schneider Electric,CONTRACTOR,43.6469434
U of R Steam Plant - UPS Add - DA & Brl Ctrl,0125-7074,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",WELDING PROCESS & MECHANICAL INC,2025-12-01 00:00:00,2026-08-01 00:00:00,"University of Richmond Steam Plant Richmond, VA 23173",CJBS,Richmond-C&J-Building Automation,USD,0125-7074,Renovation,Schneider / Tridium,CONTRACTOR,44.5
UVA Alumni Hall,0125-5988,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",,2025-05-01 00:00:00,2027-02-01 00:00:00,"211 Emmet St South  Charlottesville, VA 22903",CJBS,Richmond-C&J-Building Automation,USD,0125-5988,New Construction,Schneider,CONTRACTOR,115.7
UVA Community Credit Union,0125-5829,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",,2025-01-01 00:00:00,2027-05-11 00:00:00,"1201 5th Street  Charlottesville, VA 22902",CJBS,Richmond-C&J-Building Automation,USD,0125-5829,New Construction,Schneider Jace and Field Controllers,CONTRACTOR,145.3828419
VCBR RTU Replacement,0124-5809,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",,2024-10-01 00:00:00,2027-01-01 00:00:00,"4901 Patrick Henry HWY  Burkeville, VA 23922",CJBS,Richmond-C&J-Building Automation,USD,0124-5809,Renovation,JCI FX CGM/XPM,CONTRACTOR,99.60583333
VCUHS Chesterfield ASC MOB,0125-6535,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",,2025-11-01 00:00:00,2027-07-01 00:00:00,"9820 Iron Bridge Rd Chesterfield, VA 23832",CJBS,Richmond-C&J-Building Automation,USD,0125-6535,New Construction,Schneider,CONTRACTOR,62.3
VDACS Harrisonburg Lab Addition,0126-7225,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",B&W MECHANICAL,2026-05-01 00:00:00,2027-07-01 00:00:00,"261 Mt Clinton Pike  Harrisonburg, VA 22802",CJBS,Richmond-C&J-Building Automation,USD,0126-7225,New Construction,JCI FX,CONTRACTOR,267
,0124-5167,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",GREEN AIR,2024-01-01 00:00:00,2026-09-01 00:00:00,"144 Prison Ln Troy, VA 22974",CJBS,Richmond-C&J-Building Automation,USD,0124-5167,Renovation,JCI FX,CONTRACTOR,94.22755418
VDOC Baskerville Airplane Bldg,0124-5897,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",WACO INC,2024-10-01 00:00:00,2026-12-31 00:00:00,"4150 Hayes Mill Road Baskerville, VA 23915",CJBS,Richmond-C&J-Building Automation,USD,0124-5897,Renovation,JCI FX - extenstion of existing JCI NAE,CONTRACTOR,153.908911
VDOC Beaumont Spradlin Reno,0126-7205,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",OLD DOMINION MECHANICAL (C),2026-06-01 00:00:00,2027-06-01 00:00:00,"3500 Beaumont Road  Beaumont, Virginia 23014",CJBS,Richmond-C&J-Building Automation,USD,0126-7205,Renovation,SE Tridium,CONTRACTOR,89
VDOT - Stanardsville Combo Bldg,0125-6499,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",OLD DOMINION MECHANICAL (C),2025-07-01 00:00:00,2026-12-01 00:00:00,"131 Fredericksburg Road  Greene County, VA 22968",CJBS,Richmond-C&J-Building Automation,USD,0125-6499,New Construction,Schneider Tridium,CONTRACTOR,171.089209
VSU Johnnella Jackson Hall,0126-7182,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",COLONIAL WEBB CONTRACTORS,2026-04-01 00:00:00,2027-05-01 00:00:00,"3224 Hayden Street  Petersburg, VA 23806",CJBS,Richmond-C&J-Building Automation,USD,0126-7182,Renovation,SE,CONTRACTOR,89
VSU Lindsay Montague Improve HVAC,0126-6975,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",SOUTHERN AIR,2026-02-01 00:00:00,2027-02-01 00:00:00,"21201 Hayden Drive  Petersburg, VA 23806",CJBS,Richmond-C&J-Building Automation,USD,0126-6975,Renovation,SE / JCI-FX,CONTRACTOR,133.5
VVC Short Pump Svc Agreement,0125-6955,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",VIRGINIA VETERINARY CENTERS,2025-12-01 00:00:00,2027-02-01 00:00:00,"4300 Greybull Drive  Richmond, VA 23233",CJBS,Richmond-C&J-Services,USD,0125-6955,Service Contract,Schneider,CONTRACTOR,87
WTKR Norfolk - 2026 - Ctrls SA,0126-7060,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",SCRIPPS,2026-01-01 00:00:00,2027-03-01 00:00:00,"720 Boush St. Norfolk, VA 23510",CJBS,Richmond-C&J-Services,USD,0126-7060,Service Contract,Schneider Tridium,CONTRACTOR,130.5
Western Branch VA CBOC,0124-5183,Active,CJBS PU,CJBS_Billable Project Type,"Flagg, Daniel",JRC MECHANICAL,2024-07-01 00:00:00,2026-09-01 00:00:00,"Chesapeake Square Ring Rd Chesapeake, VA 23321",CJBS,Richmond-C&J-Building Automation,USD,0124-5183,New Construction,Schneider Electric,CONTRACTOR,147.7831899
Westmark 2 - Chiller Replace,0126-7204,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",PIEDMONT SERVICE GROUP,2026-04-01 00:00:00,2026-10-01 00:00:00,"11013 West Broad Street  Glen Allen, Virginia 23060",CJBS,Richmond-C&J-Building Automation,USD,0126-7204,Renovation,TBD,CONTRACTOR,62.3
Westmark One Chiller Replace,0126-7334,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",PIEDMONT SERVICE GROUP,2026-05-01 00:00:00,2026-11-01 00:00:00,"11011 West Broad Street  Glen Allen, Virginia 23060",CJBS,Richmond-C&J-Services,USD,0126-7334,Service Quoted,,CONTRACTOR,125
Williamsburg Landing Community Center,0124-5676,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",DAVKEN MECHANICAL INC,2024-11-01 00:00:00,2027-01-29 00:00:00,"5700 Williamsburg Landing Drive Williamsburg, VA 23185",CJBS,Richmond-C&J-Building Automation,USD,0124-5676,New Construction,Schneider ,CONTRACTOR,80.13726133
Winchester Equip - Harrisonburg Location,0125-6739,Active,CJBS PU,CJBS_Billable Project Type,"Desoto, Christopher",BLAUCH BROTHERS,2025-10-01 00:00:00,2027-05-03 00:00:00,"160 Carpenter Lane  Harrisonburg, VA 22801",CJBS,Richmond-C&J-Building Automation,USD,0125-6739,New Construction,Wiring Only,CONTRACTOR,221
