Project Name,Project Number,Project Status,Project Unit,Project Type,Project Manager,Customer,Start Date,Finish Date,Project Description,Operating Company (OpCo),Branch,Project Ledger Currency,Quote Number,Contract Type,Product Estimated,Distribution To,Cost Per Trip/Day
Dept of Agriculture - Ctrls - SA 2024,0124-5638,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",VIRGINIA DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,2024-06-01 00:00:00,2026-12-01 00:00:00,"261 Mt. Clinton Pike Harrisonburg, VA 22802",CJBS,Richmond-C&J-Services,USD,0124-5638,Service Contract,Existing JCI,CONTRACTOR,105.125
Dominion - NAPS - DCER AC-150 & 158 Ctrls,0125-6887,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",DOMINION ENERGY ©,2025-12-01 00:00:00,2027-08-01 00:00:00,"1022 Haley Dr Mineral, VA 23117",CJBS,Richmond-C&J-Building Automation,USD,0125-6887,Renovation,JCI FX,CONTRACTOR,97.9
Dominion - NAPS - DCER AC-150 - 158 Mtrl,0124-5569,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",INTEGRITY CONSTRUCTION MANAGEMENT LLC,2024-09-01 00:00:00,2027-03-01 00:00:00,"1022 Haley Dr. Mineral, VA 23117",CJBS,Richmond-C&J-Building Automation,USD,0124-5569,Renovation,JCI FX,CONTRACTOR,97.9
Dominion North Anna Service Agreement,0126-7115,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",DOMINION ENERGY ©,2026-03-01 00:00:00,2027-05-01 00:00:00,"1022 Haley Drive Mineral, VA 23117",CJBS,Richmond-C&J-Services,USD,0126-7115,Service Contract,,CONTRACTOR,87
Dominion Packaging Press Room,0125-6677,Active,CJBS PU,CJBS_Billable Project Type,"Tees, Jason",OLD DOMINION MECHANICAL (C),2025-12-01 00:00:00,2026-11-01 00:00:00,"2708 Seven Hill Blvd Henrico, VA 23231",CJBS,Richmond-C&J-Building Automation,USD,0125-6677,Renovation,TBD,CONTRACTOR,58.17241379
Dominion TFF Service Agreement,0126-7159,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",DOMINION ENERGY ©,2026-03-01 00:00:00,2027-05-01 00:00:00,"600 East Canal St. Richmond, VA 23219",CJBS,Richmond-C&J-Services,USD,0126-7159,Service Contract,Tridium ,CONTRACTOR,87
EyeCare Partners - 2nd Flr - Norfolk 2026 SA,0126-7356,Active,CJBS PU,CJBS_Billable Project Type,,MILLER MECHANICAL,2026-07-01 00:00:00,2027-07-01 00:00:00,"200 Corporate Blvd. Norfolk, VA 23502",CJBS,Richmond-C&J-Services,USD,0126-7356,Service Contract,Tridium,CONTRACTOR,87
EyeCare Partners - Surgery Center - Norfolk - 2026 SA,0126-7357,Active,CJBS PU,CJBS_Billable Project Type,"Martinez, Joseph",MILLER MECHANICAL,2026-06-01 00:00:00,2027-08-01 00:00:00,"200 Corporate Blvd. Norfolk, VA 23502",CJBS,Richmond-C&J-Services,USD,0126-7357,Service Contract,Tridium,CONTRACTOR,182.7
Feed More Service Agreement 25-26,0125-6193,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",FEED MORE,2025-12-01 00:00:00,2027-01-01 00:00:00,"8020 Villa Park Dr. Richmond, VA 23228",CJBS,Richmond-C&J-Services,USD,0125-6193,Service Contract,Schneider,CONTRACTOR,46.84615385
Flying Squirrels New Stadium,0124-5751,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",EMC MECHANICAL SERVICES,2024-11-01 00:00:00,2027-03-26 00:00:00,"2929 N. Arthur Ashe Blvd.  Richmond, VA 23230",CJBS,Richmond-C&J-Building Automation,USD,0124-5751,New Construction,Tridium / SE,CONTRACTOR,66.1939887
Friendship Court – CRC,0125-4435,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",M&E CONTRACTORS,2025-02-01 00:00:00,2026-09-01 00:00:00,"625 6th ST. SE Charlottesville, VA 22902",CJBS,Richmond-C&J-Building Automation,USD,0125-4435,New Construction,Belimo ,CONTRACTOR,13.28992629
Ft Belvoir -305 Controls SA,0125-6282,Active,CJBS PU,CJBS_Billable Project Type,,QINETIQ INC,2025-03-01 00:00:00,2026-09-30 00:00:00,"5961 Putnam Rd Fort Belvoir, VA 22060, 2026/04/30",CJBS,Richmond-C&J-Services,USD,0125-6282,Service Contract,Tridium,CONTRACTOR,139.2
Ft Belvoir Bldg 357 Controls SA,0126-7161,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",CACI,2026-04-01 00:00:00,2027-06-01 00:00:00,"5961 Putnam Road  Ft. Belvoir, VA 22060",CJBS,Richmond-C&J-Services,USD,0126-7161,Service Contract,,CONTRACTOR,87
Ft. Barfoot - SA 26-27,0126-7209,Active,CJBS PU,CJBS_Billable Project Type,"Halferty, April",T&H SERVICES,2026-04-01 00:00:00,2027-06-01 00:00:00,"2349 Military Rd Blackstone, VA 23824",CJBS,Richmond-C&J-Services,USD,0126-7209,Service Contract,JCI FX,CONTRACTOR,87
GIA Moorefield - Clinic Admin,0126-7260,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",OLD DOMINION MECHANICAL (C),2026-04-01 00:00:00,2027-06-01 00:00:00,"800 Moorefield Park Drive  Richmond, VA 23236",CJBS,Richmond-C&J-Building Automation,USD,0126-7260,Renovation,SE,CONTRACTOR,62.3
GIA Moorefield - Core & Shell,0126-6760,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",OLD DOMINION MECHANICAL (C),2026-04-01 00:00:00,2027-06-01 00:00:00,"800 Moorefield Park Drive  Richmond, VA 23236",CJBS,Richmond-C&J-Building Automation,USD,0126-6760,Renovation,SE,CONTRACTOR,62.3
GIA Moorefield - Endoscopy,0126-7259,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",OLD DOMINION MECHANICAL (C),2026-04-01 00:00:00,2027-06-01 00:00:00,"800 Moorefield Park Drive  Richmond, VA 23236",CJBS,Richmond-C&J-Building Automation,USD,0126-7259,Renovation,SE,CONTRACTOR,62.3
HCA HDH Labor and Delivery,0125-6981,Active,CJBS PU,CJBS_Billable Project Type,"Seay, Kyle",ETEC,2025-11-01 00:00:00,2026-11-01 00:00:00,"1602 Skipwith Road  Richmond, VA 23229",CJBS,Richmond-C&J-Services,USD,0125-6981,Service Quoted,JCI - FX,CONTRACTOR,60.88565794
Hanover Doswell Fire Station 4,0126-7193,Active,CJBS PU,CJBS_Billable Project Type,"Suttles, Jonathan",ICE HEATING & COOLING,2026-06-01 00:00:00,2027-10-01 00:00:00,"16243 Washington Highway  Doswell, Virginia 23047",CJBS,,USD,0126-7193,New Construction,SE Tridium,CONTRACTOR,89
IAD 557 ACB,0126-7359,Active,CJBS PU,CJBS_Billable Project Type,"Garter, Matthew",ATLANTIC CONSTRUCTORS INC,2026-05-01 00:00:00,2027-07-01 00:00:00,"2694 Jefferson Highway Louisa, VA 23093",CJBS,Richmond-C&J-Building Automation,USD,0126-7359,New Construction,SE,CONTRACTOR,89
IAD 557 CAB,0126-7360,Active,CJBS PU,CJBS_Billable Project Type,"Garter, Matthew",ATLANTIC CONSTRUCTORS INC,2026-05-01 00:00:00,2027-07-01 00:00:00,"2694 Jefferson Highway Louisa, VA 23093",CJBS,Richmond-C&J-Building Automation,USD,0126-7360,New Construction,SE,CONTRACTOR,89
IAD 557 DH Office DH Wiring,0126-6456,Active,CJBS PU,CJBS_Billable Project Type,"Garter, Matthew",ATLANTIC CONSTRUCTORS INC,2026-05-01 00:00:00,2027-09-01 00:00:00,"2694 Jefferson Highway Lousia, VA 23093",CJBS,Richmond-C&J-Building Automation,USD,0126-6456,New Construction,SE,CONTRACTOR,67.93706294
IAD-457 Ancillary Buildings,0126-7129,Active,CJBS PU,CJBS_Billable Project Type,"Garter, Matthew",,2026-03-01 00:00:00,2027-12-01 00:00:00,"6006 Mallard Road Woodford, VA 22580",CJBS,Richmond-C&J-Building Automation,USD,0126-7129,New Construction,SE,CONTRACTOR,72
IAD-457 Mattameade Data Center,0126-6087,Active,CJBS PU,CJBS_Billable Project Type,"Garter, Matthew",COLONIAL WEBB CONTRACTORS,2026-03-01 00:00:00,2027-12-01 00:00:00,"6006 Mallard Road Woodford, VA 22580",CJBS,Richmond-C&J-Building Automation,USD,0126-6087,New Construction,SE,CONTRACTOR,82.19571983
