PARTY_NAME,PARTY_NUMBER,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY,row_number
MSC INDUSTRIAL SUPPLY CO,16283,100000046344436,100000046354992,BILL_TO,100000046341139,3309,MSC INDUSTRIAL SUPPLY CO,100000046348936,A,15357,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6679,PO BOX 9073,,,,MELVILLE,11747,NY,US,
RITCHIE SMITH ASSOCIATES,16284,100000046344439,100000046353433,BILL_TO,100000046341140,5212,RITCHIE SMITH ASSOCIATES,100000046350839,A,15360,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5120,65 UNION AVE,,,,MEMPHIS,38103,TN,US,
IRVIN ELECTRICAL,16285,100000046345487,100000046354372,BILL_TO,100000046341141,3810,IRVIN ELECTRICAL,100000046349437,A,16408,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6059,40260 LACKEY RD,,,,HAMILTON,39746,MS,US,
NASH LIPSEY BURCH LLC,16286,100000046346065,100000046355362,BILL_TO,100000046341142,5214,NASH LIPSEY BURCH LLC,100000046350841,A,16986,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7049,3322 W END AVE,,,,NASHIVLLE,37203,TN,US,
MCCASKILL BROTHERS,16287,100000046346640,100000046353514,BILL_TO,100000046341143,5215,MCCASKILL BROTHERS,100000046350842,A,17561,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5201,PO BOX 891,,,,LAUREL,39441,MS,US,
VETERANS ADMINISTRATION MEDICAL,16288,100000046344445,100000046353516,BILL_TO,100000046341144,3502,VETERANS ADMINISTRATION MEDICAL,100000046349129,A,15366,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5203,1030 JEFFERSON AVE,,,,MEMPHIS,38104,TN,US,
WEST FRASER INC,16289,100000046346646,100000046355044,BILL_TO,100000046341145,4324,WEST FRASER INC,100000046349951,A,17567,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6731,1900 EXETER RD STE 105,,,,GERMANTOWN,38138,TN,US,
ACH FOOD COMPANIES,16290,100000046344962,100000046354381,BILL_TO,100000046341146,4325,ACH FOOD COMPANIES,100000046349952,A,15883,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6068,1 PARKVIEW PLAZA,,,,OAKBROOK TERRACE,60181,IL,US,
BARTLETT RECREATION CENTER,16291,100000046344963,100000046354832,BILL_TO,100000046341147,5222,BARTLETT RECREATION CENTER,100000046350849,A,15884,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6519,7700 FLAHERTY RD,,,,BARTLETT,38133,TN,US,
GASTRO ONE,16292,100000046345528,100000046353519,BILL_TO,100000046341148,4871,GASTRO ONE,100000046350498,A,16449,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5206,8000 WOLF RIVER BLVD #200,,,,GERMANTOWN,38138,TN,US,
MORSCO,16293,100000046346651,100000046353448,BILL_TO,100000046341149,3821,MORSCO,100000046349448,A,17572,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5135,4100 NEW YORK AVE,,,,ARLINGTON,76018,TX,US,
SINGING RIVER HOSPITAL,16294,100000046345503,100000046354001,BILL_TO,100000046341150,4527,SINGING RIVER HOSPITAL,100000046350154,A,16424,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5688,PO BOX 1597,,,,GAUTIER,39553-0020,MS,US,
DUTCH ENTERPRISES,16295,100000046344677,100000046353451,BILL_TO,100000046341151,5228,DUTCH ENTERPRISES,100000046350855,A,15598,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5138,4832 OLD CAPE RD E,,,,JACKSON,63755,MO,US,
WHITE PLUMBING & MECHANICAL,16296,100000046344968,100000046353758,BILL_TO,100000046341152,4530,WHITE PLUMBING & MECHANICAL,100000046350157,A,15889,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5445,2065 FLETCHER CREEK DR,,,,MEMPHIS,38133,TN,US,
INDUSTRIAL & COMMERCIAL MECHANICAL LLC,16297,100000046346393,100000046353527,BILL_TO,100000046341153,3508,INDUSTRIAL & COMMERCIAL MECHANICAL LLC,100000046349135,A,17314,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5214,4445 WPARK AVE,,,,BEAUMONT,77705,TX,US,
TG MECHANICAL,16298,100000046345509,100000046354839,BILL_TO,100000046341154,4873,TG MECHANICAL,100000046350500,A,16430,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6526,845 TIBWIN PL,,,,LAWRENCEVILLE,30045,GA,US,
WE PENDER & SONS INC,16299,100000046345510,100000046354386,BILL_TO,100000046341155,3324,WE PENDER & SONS INC,100000046348951,A,16431,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6073,8201 N STATE LINE AVE,,,,TEXARKANA,75503,TX,US,
PHILLIPS HOME SERVICES LLC,16300,100000046346114,100000046355426,BILL_TO,100000046341156,4332,PHILLIPS HOME SERVICES LLC,100000046349959,A,17035,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7113,12820 MIDDLEBURG DECATURVILLE RD,,,,DECATURVILLE,38329,TN,US,
STORYPOINT CORDOVA,16301,100000046344970,100000046353455,BILL_TO,100000046341157,4874,STORYPOINT CORDOVA,100000046350501,A,15891,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5142,1600 APPLING RD,,,,CORDOVA,38016,TN,US,
INSIGHT PARTNERS,16302,100000046344458,100000046354388,BILL_TO,100000046341158,4038,INSIGHT PARTNERS,100000046349665,A,15379,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,N,Y,N,6075,PO BOX 12569,,,,NORFOLK,23541,VA,US,
INSIGHT PARTNERS,16302,100000046345511,100000046354389,BILL_TO,100000046341158,4038,INSIGHT PARTNERS,100000046349665,A,16432,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,N,Y,N,6076,6705 PARKE E BLVD,,,,TAMPA,33610-4146,FL,US,
