PARTY_NAME,PARTY_NUMBER,PARTY_SITE_ID,SITE_USE_ID,SITE_USE_CODE,PARTY_ID,ACCOUNT_NUMBER,ACCOUNT_NAME,CUST_ACCOUNT_ID,ACCOUNT_STATUS,PARTY_SITE_NUMBER,PARTY_SITE_STATUS,START_DATE,END_DATE,PRIMARY_FLAG,BILL_TO_FLAG,SHIP_TO_FLAG,LOCATION,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,CITY,POSTAL_CODE,STATE,COUNTRY,row_number
ENGINEERING RESOURCE GROUP,15281,100000046346021,100000046354691,BILL_TO,100000046340137,3424,ENGINEERING RESOURCE GROUP,100000046349051,A,16942,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6378,350 EDGEWOOD TERRACE DR,,,,JACKSON,39206,TN,US,
HIGH POINT CLIMBING LLC,15282,100000046345728,100000046354692,BILL_TO,100000046340138,3752,HIGH POINT CLIMBING LLC,100000046349379,A,16649,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6379,21 N HUMPHREYS BLVD,,,,MEMPHIS,38120,TN,US,
EDGE AIR CONDITIONING,15283,100000046345185,100000046353285,BILL_TO,100000046340139,3753,EDGE AIR CONDITIONING,100000046349380,A,16106,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,4972,PO BOX 80,,,,POOLER,31322,GA,US,
HU HOTEL,15284,100000046344934,100000046353392,BILL_TO,100000046340140,3428,HU HOTEL,100000046349055,A,15855,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5079,79 MADISON AVE,,,,MEMPHIS,38103,TN,US,
ATLAS TUBE OF ARKANSAS,15285,100000046345734,100000046354284,BILL_TO,100000046340141,4481,ATLAS TUBE OF ARKANSAS,100000046350108,A,16655,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5971,6651 E STATE HWY 137,,,,BLYTHEVILLE,72315,AR,US,
BLUFF CITY REFRIGERATION INC,15286,100000046345442,100000046355277,BILL_TO,100000046340142,3983,BLUFF CITY REFRIGERATION INC,100000046349610,A,16363,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6964,PO BOX 11332,,,,MEMPHIS,38111,TN,US,
BAXTER HEALTHCARE,15287,100000046345738,100000046353715,BILL_TO,100000046340143,3431,BAXTER HEALTHCARE,100000046349058,A,16659,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5402,629 MT CARMEL RD,,,,BYHALIA,38611,MS,US,
SALINE MEMORIAL HOSPITAL,15288,100000046346603,100000046354697,BILL_TO,100000046340144,4279,SALINE MEMORIAL HOSPITAL,100000046349906,A,17524,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6384,1 MEDICAL DR,,,,BENTON,72015,AR,US,
BUILDING CONTROLS & SERVICES,15289,100000046345449,100000046353941,BILL_TO,100000046340145,3434,BUILDING CONTROLS & SERVICES,100000046349061,A,16370,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5628,1730 E DOUGLAS,,,,WICHITA,67214,KS,US,
BAPTIST MEMORIAL HEALTHCARE,15290,100000046346337,100000046354744,BILL_TO,100000046340146,3460,BAPTIST MEMORIAL HEALTHCARE,100000046349087,A,17258,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6431,350 N HUMPHREYS BLVD,,,,MEMPHIS,38120,TN,US,
MCCOMB SCHOOL DISTRICT,15291,100000046345743,100000046355282,BILL_TO,100000046340147,3437,MCCOMB SCHOOL DISTRICT,100000046349064,A,16664,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6969,695 MINNESOTA AVE,,,,MCCOMB,39648,MS,US,
GREER SERVICES,15292,100000046344628,100000046354288,BILL_TO,100000046340148,4287,GREER SERVICES,100000046349914,A,15549,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5975,1107 HARRIS DR,,,,SOUTH FULTON,38257,TN,US,
EVOLUTION MECHANICAL,15293,100000046345194,100000046354748,BILL_TO,100000046340149,4820,EVOLUTION MECHANICAL,100000046350447,A,16115,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6435,1791 CAPITAL ST,,,,CORONA,92880,CA,US,
USNR LLC,15294,100000046344629,100000046353477,BILL_TO,100000046340150,5183,USNR LLC,100000046350810,A,15550,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5164,PO BOX 310,,,,WOODLAND,98674,WA,US,
HYDRONIC TECHNOLOGY INC,15295,100000046345452,100000046353947,BILL_TO,100000046340151,3463,HYDRONIC TECHNOLOGY INC,100000046349090,A,16373,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5634,PO BOX 13067,,,,NEW ORLEANS,70185,LA,US,
ALLIANCE TECHNOLOGIES INC,15296,100000046344600,100000046353403,BILL_TO,100000046340152,4822,ALLIANCE TECHNOLOGIES INC,100000046350449,A,15521,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5090,PO BOX 13467,,,,MAUMELLE,72113,AR,US,
GUARANTY BANK & TRUST HERNANDO,15297,100000046345453,100000046353950,BILL_TO,100000046340153,4823,GUARANTY BANK & TRUST HERNANDO,100000046350450,A,16374,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5637,2440 MCINGVALE RD,,,,HERNANDO,38632,MS,US,
RAZORBACK A/C,15298,100000046346343,100000046353721,BILL_TO,100000046340154,4490,RAZORBACK A/C,100000046350117,A,17264,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5408,111 S 1ST ST,,,,WEST MEMPHIS,72301,AR,US,
SERESCO TECHNOLOGIES INC,15299,100000046345753,100000046354955,BILL_TO,100000046340155,3992,SERESCO TECHNOLOGIES INC,100000046349619,A,16674,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6642,1071 AGES DR,,,,OTTAWA,00163,ON,US,
TOWN OF COLLIERVILLE,15300,100000046346345,100000046354751,BILL_TO,100000046340156,3441,TOWN OF COLLIERVILLE,100000046349068,A,17266,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6438,500 POPLAR VIEW PKWY,,,,COLLIERVILLE,38017,TN,US,
ASU MID-SOUTH COMMUNITY COLLEGE,15301,100000046345459,100000046354297,BILL_TO,100000046340157,3470,ASU MID-SOUTH COMMUNITY COLLEGE,100000046349097,A,16380,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5984,2000 W BROADWAY ST,,,,WEST MEMPHIS,72301,AR,US,
KNIGHT & WILSON INC,15302,100000046344604,100000046353413,BILL_TO,100000046340158,3442,KNIGHT & WILSON INC,100000046349069,A,15525,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5100,676 E EH CRUMP BLVD,,,,MEMPHIS,38126,TN,US,
KNIGHT & WILSON INC,15302,100000046346613,100000046353956,BILL_TO,100000046340158,3442,KNIGHT & WILSON INC,100000046349069,A,17534,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,N,Y,N,5643,PO BOX 40406,,,,MEMPHIS,38126,TN,US,
GUSMUS ELECTRIC,15303,100000046346042,100000046353485,BILL_TO,100000046340159,3444,GUSMUS ELECTRIC,100000046349071,A,16963,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5172,1750 TRANSPORT LN,,,,MEMPHIS,38116,TN,US,
JOHNSTONE SUPPLY OF JACKSON,15304,100000046344606,100000046353725,BILL_TO,100000046340160,3783,JOHNSTONE SUPPLY OF JACKSON,100000046349410,A,15527,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5412,4414 W SUNSET RD,,,,LAS VEGAS,89118,NV,US,
DOWDLE & POWELL HTG & AIR LLC,15305,100000046345765,100000046354304,BILL_TO,100000046340161,4832,DOWDLE & POWELL HTG & AIR LLC,100000046350459,A,16686,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5991,1670 MERRY HILL RANCH RD,,,,SENATOBIA,38668,MS,US,
MARIETTA CORPORATION,15306,100000046346619,100000046354305,BILL_TO,100000046340162,3785,MARIETTA CORPORATION,100000046349412,A,17540,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5992,6710 RIVER RD,,,,HODGKINS,60525,IL,US,
BEEBE PUBLIC SCHOOLS,15307,100000046344609,100000046353962,BILL_TO,100000046340163,5195,BEEBE PUBLIC SCHOOLS,100000046350822,A,15530,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5649,1201 W CENTER ST,,,,BEEBE,72012,AR,US,
STR HQ LLC,15308,100000046346355,100000046353963,BILL_TO,100000046340164,4300,STR HQ LLC,100000046349927,A,17276,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5650,795 RIDGE LAKE BLVD,,,,MEMPHIS,38120,TN,US,
POPLARVILLE SCHOOL DISTRICT,15309,100000046345767,100000046354967,BILL_TO,100000046340165,4837,POPLARVILLE SCHOOL DISTRICT,100000046350464,A,16688,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6654,302 S JULIA ST,,,,POPLARVILLE,39470,MS,US,
PM CONTRACTING INC,15310,100000046345470,100000046353729,BILL_TO,100000046340166,4839,PM CONTRACTING INC,100000046350466,A,16391,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5416,4015 E 143RD ST,,,,GRANDVIEW,64030,MO,US,
MCSHANE MECHANICAL CONTRACTING,15311,100000046344641,100000046353730,BILL_TO,100000046340167,4503,MCSHANE MECHANICAL CONTRACTING,100000046350130,A,15562,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5417,2055 EASY ST,,,,COMMERCE,78390,MI,US,
RENFROW HEATING & AIR,15312,100000046345771,100000046355350,BILL_TO,100000046340168,4842,RENFROW HEATING & AIR,100000046350469,A,16692,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7037,8357 INDUSTRIAL DR,,,,OLIVE BRANCH,38654,MS,US,
UNIVERSITY GAMES CORPORATION,15313,100000046344617,100000046354760,BILL_TO,100000046340169,3795,UNIVERSITY GAMES CORPORATION,100000046349422,A,15538,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6447,2030 HARRISON ST,,,,SAN FRANCISCO,94110,CA,US,
BETHESDA RT HOLDINGS LLC,15314,100000046345774,100000046353500,BILL_TO,100000046340170,4308,BETHESDA RT HOLDINGS LLC,100000046349935,A,16695,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5187,PO BOX 8248,,,,NEWPORT BEACH,92658,CA,US,
HOWELL AIR CONDITIONING INC,15315,100000046346370,100000046353423,BILL_TO,100000046340171,3293,HOWELL AIR CONDITIONING INC,100000046348920,A,17291,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5110,PO BOX 52,,,,RAVENDALE,96123,CA,US,
HVAC SALES & SUPPLY CO INC,15316,100000046345778,100000046354360,BILL_TO,100000046340172,4847,HVAC SALES & SUPPLY CO INC,100000046350474,A,16699,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6047,PO BOX 1545,,,,HOT SPRINGS,71902,AR,US,
INTERCOMPANY EQUIPMENT,15317,100000046346054,100000046353741,BILL_TO,100000046340173,3298,INTERCOMPANY EQUIPMENT,100000046348925,A,16975,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5428,3095 STONEBROOK CIR,,,,MEMPHIS,38116,TN,US,
URMADA COMPANY,15318,100000046346633,100000046354985,BILL_TO,100000046340174,3804,URMADA COMPANY,100000046349431,A,17554,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6672,493 SPRINGRIDGE RD,,,,CLINTON,39056,MS,US,
CORKEN APPLIED PRODUCTS,15319,100000046346374,100000046353982,BILL_TO,100000046340175,4017,CORKEN APPLIED PRODUCTS,100000046349644,A,17295,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5669,705 CONGRESS PARK DR,,,,DAYTON,45459,OH,US,
AIRCO MECHANICAL,15320,100000046346375,100000046354767,BILL_TO,100000046340176,4018,AIRCO MECHANICAL,100000046349645,A,17296,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6454,14100 HONEYWELL RD,,,,LARGO,33771,FL,US,
PIONEER MANAGEMENT INC,15321,100000046345787,100000046355355,BILL_TO,100000046340177,5205,PIONEER MANAGEMENT INC,100000046350832,A,16708,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7042,445 PAGE ST,,,,STOUGHTON,02072,MA,US,
ARMSTRONG AIR & HEATING,15322,100000046346635,100000046353988,BILL_TO,100000046340178,3496,ARMSTRONG AIR & HEATING,100000046349123,A,17556,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5675,671 BUSINESS PARK BLVD,,,,WINTER GARDEN,34787,FL,US,
DESIGN TEAM SIGN COMPANY LLC,15323,100000046344656,100000046354367,BILL_TO,100000046340179,3305,DESIGN TEAM SIGN COMPANY LLC,100000046348932,A,15577,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6054,255 OLD MORRIS CHAPEL RD,,,,ADAMSVILLE,38310,TN,US,
WMB INC,15324,100000046345482,100000046354368,BILL_TO,100000046340180,3806,WMB INC,100000046349433,A,16403,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6055,PO BOX 5563,,,,GREENVILLE,38704,MS,US,
ALLISON CONTRACTING,15325,100000046346637,100000046354770,BILL_TO,100000046340181,3499,ALLISON CONTRACTING,100000046349126,A,17558,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6457,221 SYCAMORE ST,,,,JACKSON,38301,TN,US,
ZENITH ASSETT COMPANY LLC,15326,100000046344956,100000046353511,BILL_TO,100000046340182,4861,ZENITH ASSETT COMPANY LLC,100000046350488,A,15877,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5198,1855 OLYMPIC BLVD STE 300,,,,WALNUT CREEK,94596,CA,US,
OSB SERVICES LLC,15327,100000046344438,100000046353513,BILL_TO,100000046340183,5211,OSB SERVICES LLC,100000046350838,A,15359,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5200,7333 MAYGAN DR,,,,OLIVE BRANCH,38654,MS,US,
ROTO REESE ENTERPRISES,15328,100000046344660,100000046353434,BILL_TO,100000046340184,4022,ROTO REESE ENTERPRISES,100000046349649,A,15581,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5121,8124 CO RD 1016A,,,,BURLESON,76028,TX,US,
SANDYS & ASSOCIATES,15329,100000046344441,100000046355365,BILL_TO,100000046340185,5216,SANDYS & ASSOCIATES,100000046350843,A,15362,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7052,5461 SWYCK BLVD,,,,TOLEDO,43612,OH,US,
AAON COIL PRODUCTS,15330,100000046345492,100000046354782,BILL_TO,100000046340186,3813,AAON COIL PRODUCTS,100000046349440,A,16413,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6469,203 GUM SPRINGS RD,,,,LONGVIEW,75602,TX,US,
AUDACY,15331,100000046345524,100000046353995,BILL_TO,100000046340187,4029,AUDACY,100000046349656,A,16445,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5682,PO BOX 122001,,,,LITHIA SPRINGS,30122,GA,US,
HARBOR CHASE OF GERMANTOWN,15332,100000046346650,100000046354835,BILL_TO,100000046340188,4032,HARBOR CHASE OF GERMANTOWN,100000046349659,A,17571,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6522,6300 BRIARCREST AVE,,,,MEMPHIS,38120,TN,US,
HOT SPRINGS YMCA,15333,100000046346389,100000046353752,BILL_TO,100000046340189,3820,HOT SPRINGS YMCA,100000046349447,A,17310,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5439,130 WERNER ST,,,,HOT SPRINGS,71913,AR,US,
UT MEMPHIS MOLECULAR SCIENCES,15334,100000046344453,100000046354384,BILL_TO,100000046340190,4328,UT MEMPHIS MOLECULAR SCIENCES,100000046349955,A,15374,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6071,858 MADISON AVE,,,,MEMPHIS,38163,TN,US,
PC BUILDERS LLC,15335,100000046345502,100000046354385,BILL_TO,100000046340191,3823,PC BUILDERS LLC,100000046349450,A,16423,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6072,211 W GRUBB DR,,,,MESQUITE,75149,TX,US,
CARRIER ENTER MIDSOUTH REGION,15336,100000046344456,100000046354000,BILL_TO,100000046340192,4034,CARRIER ENTER MIDSOUTH REGION,100000046349661,A,15377,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5687,5010 CAMPUSWOOD DR,,,,EAST SYRACUSE,13057-1561,NY,US,
MIDSOUTH CONTRUCTION SERVICES,15337,100000046344676,100000046355048,BILL_TO,100000046340193,3507,MIDSOUTH CONTRUCTION SERVICES,100000046349134,A,15597,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6735,340 PIERCE RD,,,,OAKLAND,38060,TN,US,
FRESH AIR HEATING & AC,15338,100000046344967,100000046355051,BILL_TO,100000046340194,3322,FRESH AIR HEATING & AC,100000046348949,A,15888,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6738,4216 MURRAY AVE,,,,HALTON CITY,76117,TX,US,
DELTA ELETRICAL,15339,100000046345508,100000046353452,BILL_TO,100000046340195,3828,DELTA ELETRICAL,100000046349455,A,16429,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5139,117 N CONALCO DR,,,,JACKSON,38301,TN,US,
HUNTER'S HOLLOW,15340,100000046346392,100000046353525,BILL_TO,100000046340196,4531,HUNTER'S HOLLOW,100000046350158,A,17313,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5212,658 HWY 6 W,,,,OXFORD,38655,MS,US,
AIRCOM MECHANICAL INC,15341,100000046344680,100000046353454,BILL_TO,100000046340197,3323,AIRCOM MECHANICAL INC,100000046348950,A,15601,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5141,11281 PYRITES WAY,,,,GOLD RIVER,95670,CA,US,
SOUTHLAND CASINO HOTEL,15342,100000046346394,100000046354006,BILL_TO,100000046340198,4333,SOUTHLAND CASINO HOTEL,100000046349960,A,17315,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5693,1550 N INGRAM BLVD,,,,WEST MEMPHIS,72301,AR,US,
GERMANTOWN BOARD OF EDUCATION,15343,100000046346119,100000046355059,BILL_TO,100000046340199,4880,GERMANTOWN BOARD OF EDUCATION,100000046350507,A,17040,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6746,3350 S FOREST HILL IRENE RD,,,,GERMANTOWN,38138,TN,US,
MEDDLESOME BREWING COMPANY,15344,100000046344977,100000046355435,BILL_TO,100000046340200,4534,MEDDLESOME BREWING COMPANY,100000046350161,A,15898,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7122,12147 BROOKS RIVER DR,,,,ARLINGTON,38002,TN,US,
MECHANICAL PRODUCTS SW,15345,100000046344978,100000046353529,BILL_TO,100000046340201,4340,MECHANICAL PRODUCTS SW,100000046349967,A,15899,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5216,1450 W ROSE GARDEN LN,,,,PHOENIX,85027,AZ,US,
GOSLEE CONSTRUCTION,15346,100000046345538,100000046355437,BILL_TO,100000046340202,4046,GOSLEE CONSTRUCTION,100000046349673,A,16459,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7124,136 SANDERS LN,,,,HOT SPRINGS,71913,AR,US,
CANDLEWOOD SUITES HOUSTON,15347,100000046346403,100000046354443,BILL_TO,100000046340203,3515,CANDLEWOOD SUITES HOUSTON,100000046349142,A,17324,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6130,1500 N SAM HOUSTON PKWY,,,,HOUSTON,77032,TX,US,
TOTAL COMFORT COOLING & HTG,15348,100000046344467,100000046355063,BILL_TO,100000046340204,4539,TOTAL COMFORT COOLING & HTG,100000046350166,A,15388,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6750,504 N GLENWOOD AVE,,,,DALTON,30721,GA,US,
JM TAYLOR INC,15349,100000046345212,100000046353465,BILL_TO,100000046340205,4052,JM TAYLOR INC,100000046349679,A,16133,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5152,6500 MORAVIA PARK DR,,,,BALTIMORE,21237,MD,US,
AIR MASTERS,15350,100000046346095,100000046353536,BILL_TO,100000046340206,3518,AIR MASTERS,100000046349145,A,17016,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5223,PO BOX 727,,,,GAUTIER,39553,MS,US,
ZENITH ASSET COII LLC,15351,100000046346127,100000046353537,BILL_TO,100000046340207,5244,ZENITH ASSET COII LLC,100000046350871,A,17048,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5224,320 COULTER DR,,,,NEW ALBANY,38652,MS,US,
KOCH FOODS,15352,100000046344471,100000046353771,BILL_TO,100000046340208,4054,KOCH FOODS,100000046349681,A,15392,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5458,1080 RIVER OAKS DR,,,,FLOWOOD,39232,MS,US,
CANTON PUBLIC SCHOOL DISTRICT,15353,100000046345214,100000046353805,BILL_TO,100000046340209,3838,CANTON PUBLIC SCHOOL DISTRICT,100000046349465,A,16135,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5492,403 E LINCOLN ST,,,,CANTON,39046,MS,US,
CLARITY POOLS,15354,100000046344690,100000046354848,BILL_TO,100000046340210,4345,CLARITY POOLS,100000046349972,A,15611,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6535,37 VALLEY ESTATES DR,,,,LITTLE ROCK,72212,AR,US,
TITAN MECHANICAL,15355,100000046346130,100000046353809,BILL_TO,100000046340211,5246,TITAN MECHANICAL,100000046350873,A,17051,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5496,15001 WASHINGTON ST,,,,HAYMARKET,20169,VA,US,
C & K AIR & HEATING,15356,100000046346410,100000046355066,BILL_TO,100000046340212,4891,C & K AIR & HEATING,100000046350518,A,17331,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6753,1809 WATSON,,,,MEMPHIS,38111,TN,US,
TENNESSEE VALLEY AUTHORITY,15357,100000046346413,100000046353812,BILL_TO,100000046340213,3841,TENNESSEE VALLEY AUTHORITY,100000046349468,A,17334,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5499,2574 PLANT RD,,,,MEMPHIS,38109,TN,US,
AIR TEMP MECHANICAL LLC,15358,100000046344477,100000046353778,BILL_TO,100000046340214,5254,AIR TEMP MECHANICAL LLC,100000046350881,A,15398,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5465,25550 GRAND RIVER,,,,REDFORD,48240,MI,US,
THE ORPHEUM,15359,100000046344479,100000046355449,BILL_TO,100000046340215,3845,THE ORPHEUM,100000046349472,A,15400,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7136,PO BOX 3370,,,,MEMPHIS,38173,TN,US,
ARLINGTON COMMUNITY SCHOOLS,15360,100000046346419,100000046353816,BILL_TO,100000046340216,3347,ARLINGTON COMMUNITY SCHOOLS,100000046348974,A,17340,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5503,12060 ARLINGTON TRAIL,,,,ARLINGTON,38002,TN,US,
CHRISTIAN BROTHERS HIGH SCHOOL,15361,100000046345001,100000046354863,BILL_TO,100000046340217,5262,CHRISTIAN BROTHERS HIGH SCHOOL,100000046350889,A,15922,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6550,5900 WALNUT GROVE RD,,,,MEMPHIS,38120,TN,US,
MIKE BILDERBECK,15362,100000046346140,100000046355455,BILL_TO,100000046340218,4071,MIKE BILDERBECK,100000046349698,A,17061,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,7142,7781 FOSTER RIDGE RD,,,,GERMANTOWN,38138,TN,US,
TUPELO AQUATIC CENTER,15363,100000046346422,100000046354309,BILL_TO,100000046340219,4354,TUPELO AQUATIC CENTER,100000046349981,A,17343,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5996,PO BOX 3608,,,,TUPELO,38801,MS,US,
GREG GRIFFIN'S RENTAL,15364,100000046346146,100000046353821,BILL_TO,100000046340220,3853,GREG GRIFFIN'S RENTAL,100000046349480,A,17067,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5508,1115 WILL SCARLET,,,,MEMPHIS,38111,TN,US,
FRANKLIN HTG AIR & VENTILATION,15365,100000046346147,100000046353790,BILL_TO,100000046340221,4075,FRANKLIN HTG AIR & VENTILATION,100000046349702,A,17068,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,5477,1254 ESTATE DR,,,,MEMPHIS,38119,TN,US,
PERFORMANCE COOLING & HEATING,15366,100000046344706,100000046354460,BILL_TO,100000046340222,3534,PERFORMANCE COOLING & HEATING,100000046349161,A,15627,A,1900-01-01T00:00:00.000+00:00,4712-12-31T00:00:00.000+00:00,Y,P,N,6147,5715 MORTON RD,,,,KATY,77493,TX,US,
