Transaction Number,Transaction Source,Transaction Class,Transaction Type,Complete,Status,Bill-to Customer,Entered Amount,Currency,Transaction Date,Operating Company (OpCo),Accounting Date,Batch Name,Bill-to Customer Site,Due Date,Primary Salesperson,Po Number,Bill-to Customer Account Number,Document Number,Unnamed: 19,Unnamed: 37
244983-2,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,2007.66,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-20 00:00:00,Dorse House Account,26035048,3442,151000001414,,
245116,Conversion,Invoice,Invoice,Yes,Complete,CAPITAL HEATING & COOLING,623.22,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3758,2026-03-13 00:00:00,Dorse House Account,12482,3785,151000001220,,
242872,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,5514.9,USD,2025-12-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-01-15 00:00:00,Dorse House Account,SeaTac Concourse C,3049,151000000715,,
245885,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,573.5,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-29 00:00:00,Dorse House Account,PO039499,4269,151000001138,,
244178,Conversion,Invoice,Invoice,Yes,Complete,TRIMBLE MECHANICAL,216.88,USD,2026-01-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2819,2026-02-18 00:00:00,Dorse House Account,3174,4006,151000000586,,
244736,Conversion,Invoice,Invoice,Yes,Complete,DELTA TECHNOLOGY CORPORATION,13875,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4595,2026-03-14 00:00:00,Dorse House Account,3603-2524-630,3607,151000001198,,
222929,Conversion,Credit Memo,Credit Memo,No,Incomplete,HEAT MASTER INC,-885,USD,2024-09-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2019707,5106,,Dorse House Account,,3640,,,
244983,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,1693.33,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-13 00:00:00,Dorse House Account,26035048,3442,151000001413,,
245692,Conversion,Invoice,Invoice,Yes,Complete,JH KELLY LLC,652.14,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3951,2026-03-27 00:00:00,Dorse House Account,25683.0005,3686,151000000458,,
243192,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,114.76,USD,2025-12-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-01-21 00:00:00,Dorse House Account,2509-0181,3557,151000001081,,
245041,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,1032,USD,2026-02-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-11 00:00:00,Dorse House Account,32542,4289,151000000407,,
235447-2,Conversion,Invoice,Invoice,Yes,Complete,UPTOWN MECHANICAL,123.5,USD,2025-10-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3769,2025-11-12 00:00:00,Dorse House Account,Gene Jaurez,4202,151000001390,,
244949,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,3890,USD,2026-02-03 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-05 00:00:00,Dorse House Account,32531,4289,151000000406,,
244920-2,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,21035,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-03-14 00:00:00,Dorse House Account,BF928870,4103,151000000341,,
245256,Conversion,Invoice,Invoice,Yes,Complete,JRT MECHANICAL INC,2220,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4590,2026-03-20 00:00:00,Dorse House Account,1520,3188,151000001217,,
244776,Conversion,Invoice,Invoice,Yes,Complete,ENVIROMECH,77.46,USD,2026-01-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3007,2026-02-28 00:00:00,Dorse House Account,25-484,3868,151000001349,,
243378,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,119.83,USD,2025-12-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-01-22 00:00:00,Dorse House Account,F1214-220-2000,3049,151000001116,,
244932,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,36.12,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-03-06 00:00:00,Dorse House Account,jm928918,4103,151000000355,,
245263-1,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,32.28,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-14 00:00:00,Dorse House Account,692126,3377,151000001051,,
244767,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,139.2,USD,2026-01-30 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-01 00:00:00,Dorse House Account,PO038100,4269,151000000146,,
244073-1,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,500,USD,2026-02-17 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-19 00:00:00,Dorse House Account,26008174,3442,151000000824,,
245134,Conversion,Invoice,Invoice,Yes,Complete,T & M OF WA INC,4147.81,USD,2026-02-10 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4287,2026-03-12 00:00:00,Dorse House Account,union gap bank,3470,151000001157,,
244754,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,1200,USD,2026-02-03 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-05 00:00:00,Dorse House Account,689607,3377,151000000039,,
245134-2,Conversion,Invoice,Invoice,Yes,Complete,T & M OF WA INC,1764,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4287,2026-03-22 00:00:00,Dorse House Account,union gap bank,3470,151000001158,,
241527-2,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,3623.42,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-29 00:00:00,Dorse House Account,PO034157,4269,151000001569,,
243628,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,645,USD,2026-01-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-02-17 00:00:00,Dorse House Account,2201,3557,151000000522,,
243930,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,2295,USD,2026-02-06 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-08 00:00:00,Dorse House Account,RS00113,3887,151000001462,,
244023,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,2440.26,USD,2026-01-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-02-19 00:00:00,Dorse House Account,686330,3377,151000000044,,
245249,Conversion,Invoice,Invoice,Yes,Complete,CFM HEATING & COOLING INC,528.94,USD,2026-02-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3929,2026-03-21 00:00:00,Dorse House Account,Chick Fil A,4121,151000000833,,
245252,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,7600,USD,2026-02-24 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-26 00:00:00,Dorse House Account,PO038663,4269,151000000743,,
244153-3,Conversion,Invoice,Invoice,Yes,Complete,AIR DESIGN,810.11,USD,2026-02-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2425,2026-03-11 00:00:00,Dorse House Account,Missoula FSD/Fans,3583,151000000323,,
242831-1,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,650,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-02-06 00:00:00,Dorse House Account,680687,3377,151000000875,,
244664-1,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,18.61,USD,2026-01-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-28 00:00:00,Dorse House Account,PO037971,4269,151000000143,,
244818,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,900,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-06 00:00:00,Dorse House Account,32450,4289,151000000402,,
244631,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,394,USD,2026-01-26 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-02-25 00:00:00,Dorse House Account,32362,4289,151000000401,,
243561,Conversion,Invoice,Invoice,Yes,Complete,AMS,250,USD,2026-01-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2232,2026-02-12 00:00:00,Dorse House Account,WORP - Kolter,3112,151000001107,,
243193,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,125,USD,2025-12-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-01-21 00:00:00,Dorse House Account,2509-2720,3557,151000000332,,
245612,Conversion,Invoice,Invoice,Yes,Complete,PACIFIC ONE CONSTRUCTION INC,80,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34311,2026-03-22 00:00:00,Dorse House Account,Parkshore,4049,151000000067,,
244382-1,Conversion,Invoice,Invoice,Yes,Complete,VITAL MECHANICAL SERVICE,217.36,USD,2026-01-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2472,2026-02-28 00:00:00,Dorse House Account,305597,4042,151000000641,,
246044,Conversion,Invoice,Invoice,Yes,Complete,HOLMBERG COMPANY,80.18,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3333,2026-03-29 00:00:00,Dorse House Account,4423-237000-1,3828,151000000609,,
243240-1,Conversion,Invoice,Invoice,Yes,Complete,NARROWS HEATING & AIR COND,7750,USD,2026-01-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3607,2026-02-21 00:00:00,Dorse House Account,C25-5629,4126,151000000995,,
243726,Conversion,Invoice,Invoice,Yes,Complete,COOLSYS LIGHT COMMERCIAL SOLUTIONS,39,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3736,2026-02-06 00:00:00,Dorse House Account,OR8231417,3742,151000001441,,
244324,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,332,USD,2026-01-30 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-01 00:00:00,Dorse House Account,687417,3377,151000001033,,
244009-1,Conversion,Invoice,Invoice,Yes,Complete,CRESCENT MECHANICAL INC,7450,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2831,2026-03-25 00:00:00,Dorse House Account,2402-302,4374,151000001454,,
242935,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,63000,USD,2026-02-11 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-03-13 00:00:00,Dorse House Account,S325-W-00002,3049,151000000947,,
244882,Conversion,Invoice,Invoice,Yes,Complete,JH KELLY LLC,305.75,USD,2026-02-02 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3951,2026-03-04 00:00:00,Dorse House Account,25259.0064,3686,151000000023,,
245244,Conversion,Invoice,Invoice,Yes,Complete,TRS MECHANICAL INC,78,USD,2026-02-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4972,2026-03-11 00:00:00,Dorse House Account,23671,3498,151000000234,,
243642,Conversion,Invoice,Invoice,Yes,Complete,TRIMBLE MECHANICAL,494.41,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2819,2026-02-06 00:00:00,Dorse House Account,2648,4006,151000000133,,
243621,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,1815,USD,2026-01-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-08 00:00:00,Dorse House Account,PO036749-1,4269,151000000760,,
244357-2,Conversion,Invoice,Invoice,Yes,Complete,ATLAS MECHANICAL INC,245,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34328,2026-03-14 00:00:00,Dorse House Account,R260057,3576,151000001022,,
244605,Conversion,Invoice,Invoice,Yes,Complete,HOLMBERG COMPANY,110,USD,2026-02-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3333,2026-03-15 00:00:00,Dorse House Account,9500-1035-237000-1,3828,151000000607,,
245740,Conversion,Invoice,Invoice,Yes,Complete,GB SYSTEMS,116.39,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4762,2026-03-27 00:00:00,Dorse House Account,26092,3739,151000001338,,
243275-1,Conversion,Invoice,Invoice,Yes,Complete,APOLLO MECHANICAL CONTRACTORS,243,USD,2026-01-14 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2169,2026-02-13 00:00:00,Dorse House Account,M2990/W-00016,3049,151000000338,,
241527,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,248.55,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-03-06 00:00:00,Dorse House Account,PO034157,4269,151000001565,,
245075,Conversion,Invoice,Invoice,Yes,Complete,HOLADAY-PARKS INC,325,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4512,2026-03-25 00:00:00,Dorse House Account,1022766-90063,3528,151000001209,,
239077-2,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,5700,USD,2026-01-14 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-13 00:00:00,Dorse House Account,PO030127-3,4269,151000000112,,
243142,Conversion,Invoice,Invoice,Yes,Complete,AMS,200.32,USD,2025-12-22 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2232,2026-01-21 00:00:00,Dorse House Account,Polaris at Totam Lake,3112,151000001286,,
245849,Conversion,Invoice,Invoice,Yes,Complete,ACCO ENGINEERED SYSTEMS (401856),29.3,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,5060,2026-03-27 00:00:00,Dorse House Account,60940811,3666,151000001383,,
242120,Conversion,Invoice,Invoice,Yes,Complete,TOTAL ENERGY MANAGEMENT,13740,USD,2025-12-31 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2868,2026-01-30 00:00:00,Dorse House Account,23492-214075,4018,151000001597,,
245843,Conversion,Invoice,Invoice,Yes,Complete,CAPITAL HEATING & COOLING,675,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3758,2026-03-29 00:00:00,Dorse House Account,13527,3785,151000000664,,
239939,Conversion,Invoice,Invoice,Yes,Complete,HERMANSON COMPANY,1704,USD,2026-01-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2628,2026-02-08 00:00:00,Dorse House Account,PO030718,4269,151000001540,,
246001,Conversion,Invoice,Invoice,Yes,Complete,VITAL MECHANICAL SERVICE,231.24,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2472,2026-03-29 00:00:00,Dorse House Account,306029,4042,151000001009,,
243137,Conversion,Invoice,Invoice,Yes,Complete,DB SOLUTIONS,600,USD,2025-12-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2528,2026-01-28 00:00:00,Dorse House Account,2025-25-02,3602,151000001315,,
239377-1,Conversion,Invoice,Invoice,Yes,Complete,BASIN REFRIGERATION & HEATING,2436,USD,2026-02-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3067,2026-03-25 00:00:00,Dorse House Account,620856-086,4185,151000001017,,
244878,Conversion,Invoice,Invoice,Yes,Complete,STEELHEAD MECHANICAL,333,USD,2026-02-04 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2180,2026-03-06 00:00:00,Dorse House Account,CG,3543,151000000850,,
245396,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,216,USD,2026-02-12 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-14 00:00:00,Dorse House Account,WA2788,3887,151000001000,,
244517,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,454.99,USD,2026-01-23 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-02-22 00:00:00,Dorse House Account,S1000010335,4103,151000000557,,
245633,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,138.12,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-03-22 00:00:00,Dorse House Account,2509-2720,3557,151000001088,,
242994-2,Conversion,Invoice,Invoice,Yes,Complete,MACKIN & LITTLE,1096,USD,2026-01-17 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4377,2026-02-16 00:00:00,Dorse House Account,24-28-B,3527,151000000287,,
245323,Conversion,Invoice,Invoice,Yes,Complete,CAMPBELL & COMPANY INC,750,USD,2026-02-16 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3800,2026-03-18 00:00:00,Dorse House Account,1249086,4252,151000000915,,
245624,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,895,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-20 00:00:00,Dorse House Account,26049018,3442,151000000391,,
245419,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,171.86,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-03-20 00:00:00,Dorse House Account,sp929045,4103,151000001551,,
239049,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,200,USD,2025-12-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-01-08 00:00:00,Dorse House Account,30253,4289,151000000384,,
245701,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,275,USD,2026-02-20 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-22 00:00:00,Dorse House Account,694060,3377,151000001260,,
245548,Conversion,Invoice,Invoice,Yes,Complete,BLUE MOUNTAIN MECHANICAL INC,138,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4407,2026-03-20 00:00:00,Dorse House Account,BMM1371,3079,151000000768,,
246198,Conversion,Credit Memo,Credit Memo,No,Incomplete,EVERGREEN REFRIGERATION LLC,-21035,USD,2026-02-28 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2019707,3971,,Dorse House Account,BF928870,4103,,,
240443,Conversion,Invoice,Invoice,Yes,Complete,ZIP MECHANICAL,105,USD,2026-02-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2750,2026-03-15 00:00:00,Dorse House Account,Mary Ruth Manor,3792,151000000866,,
243473,Conversion,Invoice,Invoice,Yes,Complete,OCEAN PARK MECHANICAL INC,14.33,USD,2025-12-31 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,2522,2026-01-30 00:00:00,Dorse House Account,2515-2720,3557,151000000508,,
244964,Conversion,Invoice,Invoice,Yes,Complete,UNITED SYSTEMS MECHANICAL INC,56.23,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3714,2026-03-29 00:00:00,Dorse House Account,54427-9932,4010,151000000083,,
245822,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,145,USD,2026-02-24 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-03-26 00:00:00,Dorse House Account,694595,3377,151000000480,,
245120,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN HEATING,2020,USD,2026-02-13 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3496,2026-03-15 00:00:00,Dorse House Account,Barnes South,3391,151000000420,,
243436,Conversion,Invoice,Invoice,Yes,Complete,AIR 1 HEATING INC,336,USD,2025-12-29 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4684,2026-01-28 00:00:00,Dorse House Account,Hotel #2,3111,151000001246,,
243512-2,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,1420.48,USD,2026-02-21 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-23 00:00:00,Dorse House Account,25353043,3442,151000000808,,
243803,Conversion,Invoice,Invoice,Yes,Complete,MACDONALD-MILLER FACILITY SOLUTIONS INC,359.71,USD,2026-01-09 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3412,2026-02-08 00:00:00,Dorse House Account,685514,3377,151000000887,,
245291-1,Conversion,Invoice,Invoice,Yes,Complete,CFM HEATING & COOLING INC,139.72,USD,2026-02-18 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3929,2026-03-20 00:00:00,Dorse House Account,Death & CO,4121,151000000432,,
244794,Conversion,Invoice,Invoice,Yes,Complete,MCKINSTRY COMPANY,1580.46,USD,2026-01-30 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4222,2026-03-01 00:00:00,Dorse House Account,25357078,3442,151000000187,,
240588,Conversion,Invoice,Invoice,Yes,Complete,TRS MECHANICAL INC,1325,USD,2025-12-15 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,4972,2026-01-14 00:00:00,Dorse House Account,22736,3498,151000001691,,
245100,Conversion,Invoice,Invoice,Yes,Complete,CODE MECHANICAL INC,125,USD,2026-02-05 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,5010,2026-03-07 00:00:00,Dorse House Account,60317,4056,151000001471,,
245905,Conversion,Invoice,Invoice,Yes,Complete,ACCO ENGINEERED SYSTEMS (401856),43.26,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,5060,2026-03-29 00:00:00,Dorse House Account,266712,3666,151000001629,,
243640,Conversion,Invoice,Invoice,Yes,Complete,EVERGREEN REFRIGERATION LLC,28.86,USD,2026-01-07 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3971,2026-02-06 00:00:00,Dorse House Account,SP928616,4103,151000000555,,
245634,Conversion,Invoice,Invoice,Yes,Complete,JOHNSTONE SUPPLY - SPOKANE,412.65,USD,2026-02-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3350,2026-03-21 00:00:00,Dorse House Account,718-1482279A,3333,151000001283,,
244142,Conversion,Invoice,Invoice,Yes,Complete,BRUCE HEATING & AIR CONDITIONING INC,60620,USD,2026-02-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3172,2026-03-21 00:00:00,Dorse House Account,32120,4289,151000001669,,
245713,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,85.86,USD,2026-02-19 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-21 00:00:00,Dorse House Account,26007CNC,3887,151000000250,,
245459-1,Conversion,Invoice,Invoice,Yes,Complete,UNITED SYSTEMS MECHANICAL INC,1656.44,USD,2026-02-25 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3714,2026-03-27 00:00:00,Dorse House Account,54394-9926,4010,151000001525,,
246003,Conversion,Invoice,Invoice,Yes,Complete,UNITED SYSTEMS MECHANICAL INC,250.24,USD,2026-02-27 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,3714,2026-03-29 00:00:00,Dorse House Account,54420-9897,4010,151000001527,,
244683,Conversion,Invoice,Invoice,Yes,Complete,LEGACY HEATING AND COOLING,1490.36,USD,2026-02-05 00:00:00,Dorse,2026-03-31 00:00:00,Conversion_2017709,34313,2026-03-07 00:00:00,Dorse House Account,25191CNC,3887,151000001701,,
